Wall time,Step,Value
1680896264.7126052,99,-0.7723038196563721
1680896292.600272,299,-0.8787233829498291
1680896299.5050101,349,-0.8562589287757874
1680896306.3719478,399,-0.8873083591461182
1680896320.3529124,499,-0.8696504831314087
1680896327.302799,549,-0.9229292273521423
1680896359.6587799,599,-0.8699198365211487
1680896394.2587876,849,-0.9187254905700684
1680896401.128471,899,-0.9172480702400208
1680896408.1588194,949,-0.9226025938987732
1680896415.1443465,999,-0.9145277738571167
1680896435.890138,1149,-0.9217658042907715
1680896468.506214,1199,-0.9071707129478455
1680896475.4353156,1249,-0.9073076248168945
1680896482.374917,1299,-0.9382845759391785
1680896496.1975348,1399,-0.9134886264801025
1680896510.1976829,1499,-0.9420329928398132
1680896517.1635482,1549,-0.9253040552139282
1680896524.0659955,1599,-0.9359493255615234
1680896531.1296153,1649,-0.9208984375
1680896577.1388407,1799,-0.9447815418243408
1680896591.0563712,1899,-0.9489668607711792
1680896597.8593798,1949,-0.9386521577835083
1680896604.7821856,1999,-0.9502138495445251
1680896611.6811728,2049,-0.9417097568511963
1680896625.5584443,2149,-0.9312758445739746
1680896632.475276,2199,-0.9087083339691162
1680896639.3948834,2249,-0.9436288475990295
1680896692.3727942,2449,-0.9491758346557617
1680896699.2931662,2499,-0.9636120796203613
1680896706.176968,2549,-0.9517393112182617
1680896713.1806502,2599,-0.9425151348114014
1680896727.0461032,2699,-0.9439672231674194
1680896794.0252304,2999,-0.9397468566894531
1680896801.059016,3049,-0.9482622146606445
1680896807.9981902,3099,-0.9424912333488464
1680896814.8822894,3149,-0.9469698071479797
1680896821.832317,3199,-0.9305859804153442
1680896828.9013393,3249,-0.9594188928604126
1680896842.8383389,3349,-0.9527522921562195
1680896849.7039587,3399,-0.9553089141845703
1680896889.348633,3499,-0.9525845050811768
1680896903.1353981,3599,-0.9569780230522156
1680896924.0436542,3749,-0.953446626663208
1680896930.9156177,3799,-0.9728304147720337
1680896937.7934725,3849,-0.9635591506958008
1680896958.7508285,3999,-0.9457119107246399
1680896965.6057222,4049,-0.9551879167556763
1680897018.88141,4249,-0.9430178999900818
1680897025.8296583,4299,-0.9610986113548279
1680897032.7170694,4349,-0.963619589805603
1680897039.679343,4399,-0.9634900093078613
1680897046.579092,4449,-0.956473708152771
1680897060.346245,4549,-0.9676709771156311
1680897074.266766,4649,-0.9547160267829895
1680897106.6478765,4699,-0.967393159866333
1680897113.5711453,4749,-0.9423222541809082
1680897120.4431758,4799,-0.9549959897994995
1680897134.5127733,4899,-0.9571686387062073
1680897141.3986573,4949,-0.9597358703613281
1680897148.2975159,4999,-0.968026876449585
1680897162.3188207,5099,-0.9544216394424438
1680897169.2227695,5149,-0.9727197885513306
1680897208.4398682,5249,-0.9592137932777405
1680897215.2980766,5299,-0.9629230499267578
1680897236.3243058,5449,-0.9648324251174927
1680897243.229553,5499,-0.960960865020752
1680897250.2675362,5549,-0.9625979065895081
1680897257.1020873,5599,-0.9680325984954834
1680897264.0597565,5649,-0.9639265537261963
1680897271.0207071,5699,-0.9697884321212769
1680897277.9680972,5749,-0.9608622193336487
1680897285.0479057,5799,-0.9610153436660767
1680897324.7640479,5899,-0.9749809503555298
1680897331.7504823,5949,-0.9672289490699768
1680897338.6855805,5999,-0.9745570421218872
1680897345.6200917,6049,-0.9616093039512634
1680897359.46679,6149,-0.9662642478942871
1680897366.4061897,6199,-0.960655927658081
1680897387.3052716,6349,-0.9591773748397827
1680897394.23507,6399,-0.9535251259803772
1680897440.2980795,6549,-0.9815603494644165
1680897454.1377134,6649,-0.9696527719497681
1680897461.1206577,6699,-0.9692840576171875
1680897468.0435438,6749,-0.9718677401542664
1680897474.9195476,6799,-0.9753593802452087
1680897481.8558173,6849,-0.9662643074989319
1680897488.787872,6899,-0.9718180894851685
1680897495.7551713,6949,-0.9658199548721313
1680897535.0053265,7049,-0.975164532661438
1680897555.888865,7199,-0.9703408479690552
1680897569.7374566,7299,-0.9709241390228271
1680897590.5009487,7449,-0.968931257724762
1680897604.3156462,7549,-0.9640801548957825
1680897636.891072,7599,-0.9745357632637024
1680897643.9546607,7649,-0.9668206572532654
1680897650.8693206,7699,-0.9754089117050171
1680897657.773025,7749,-0.9620022177696228
1680897664.6226847,7799,-0.9574792385101318
1680897671.6903565,7849,-0.9583394527435303
1680897678.63751,7899,-0.9705159664154053
1680897685.5124683,7949,-0.9528636336326599
1680897692.477082,7999,-0.9629908204078674
1680897706.2949169,8099,-0.9585689306259155
1680897745.653668,8199,-0.9683598279953003
1680897759.582846,8299,-0.9756219387054443
1680897766.4584107,8349,-0.9734004735946655
1680897773.4163482,8399,-0.9683303236961365
1680897780.4109075,8449,-0.9585582613945007
1680897787.2343516,8499,-0.9731594920158386
1680897808.1359587,8649,-0.9735205769538879
1680897847.8574002,8749,-0.977185070514679
1680897875.5894763,8949,-0.9650287628173828
1680897896.5454633,9099,-0.9648466110229492
1680897903.4298182,9149,-0.9699785709381104
1680897917.4139318,9249,-0.9683500528335571
1680897924.3762953,9299,-0.9732072353363037
1680897956.7691722,9349,-0.9734688401222229
1680897963.7262535,9399,-0.9745951294898987
1680897970.8199584,9449,-0.9699194431304932
1680897977.692526,9499,-0.9756949543952942
1680897984.5937915,9549,-0.9775129556655884
1680897991.5024347,9599,-0.9732696413993835
1680898026.25479,9849,-0.9650088548660278
1680898072.9153807,9999,-0.9644804000854492
1680898086.7214937,10099,-0.9773190021514893
1680898093.7966154,10149,-0.9649530053138733
1680898100.7365458,10199,-0.974658191204071
1680898107.5677373,10249,-0.9724013805389404
1680898114.6026657,10299,-0.974368691444397
1680898121.758802,10349,-0.9790928959846497
1680898135.5504947,10449,-0.9715083837509155
1680898175.0138195,10549,-0.9654881954193115
1680898188.9011753,10649,-0.9717349410057068
1680898195.863263,10699,-0.9756637215614319
1680898202.7875931,10749,-0.9771943092346191
1680898223.6509037,10899,-0.9718687534332275
1680898237.5116343,10999,-0.9733147025108337
1680898291.081741,11199,-0.9808329343795776
1680898298.0073092,11249,-0.9762874841690063
1680898304.9839747,11299,-0.9730081558227539
1680898311.9091253,11349,-0.9766193628311157
1680898325.7933748,11449,-0.9775325059890747
1680898332.7921324,11499,-0.9762096405029297
1680898353.5492125,11649,-0.9733444452285767
1680898385.644165,11699,-0.9700930118560791
1680898392.80561,11749,-0.9754142165184021
1680898413.279092,11899,-0.9696451425552368
1680898427.0920653,11999,-0.9699354767799377
1680898433.9731567,12049,-0.9780421853065491
1680898486.5796456,12249,-0.9783833026885986
1680898493.4804115,12299,-0.9769964218139648
1680898500.2908266,12349,-0.975855827331543
1680898507.175444,12399,-0.9778919219970703
1680898521.067895,12499,-0.9774422645568848
1680898548.79903,12699,-0.9760376811027527
1680898594.4125247,12849,-0.9798685312271118
1680898608.4007587,12949,-0.9799528121948242
