Wall time,Step,Value
1680688458.903897,99,11.227031707763672
1680688479.5969267,299,8.386337280273438
1680688484.7709272,349,8.180325508117676
1680688489.9399836,399,8.25477123260498
1680688500.3522406,499,6.8384246826171875
1680688505.572749,549,6.821110725402832
1680688535.0534666,599,5.679019451141357
1680688560.9622927,849,4.760824680328369
1680688566.065289,899,5.12148380279541
1680688571.2174308,949,5.1508307456970215
1680688576.464953,999,5.2623467445373535
1680688591.9457898,1149,3.757448196411133
1680688622.1054757,1199,5.064334392547607
1680688627.4334753,1249,4.275965690612793
1680688632.6474223,1299,4.995842933654785
1680688642.9515293,1399,4.013628005981445
1680688653.4278705,1499,3.9680089950561523
1680688658.5968702,1549,3.5012898445129395
1680688663.7003798,1599,4.0772786140441895
1680688668.9313812,1649,3.9747893810272217
1680688708.8578832,1799,3.1466574668884277
1680688719.209125,1899,3.2063891887664795
1680688724.3676345,1949,3.7478737831115723
1680688729.5986376,1999,3.7834360599517822
1680688734.719805,2049,3.1814193725585938
1680688745.071313,2149,3.2212629318237305
1680688750.2383096,2199,3.24894118309021
1680688755.3644516,2249,3.0056190490722656
1680688800.75614,2449,2.841365337371826
1680688806.7286522,2499,2.807957649230957
1680688812.1181693,2549,3.02168345451355
1680688817.8836787,2599,2.4694178104400635
1680688829.0527546,2699,2.796259880065918
1680688886.2018728,2999,2.5164480209350586
1680688891.3769262,3049,3.150811195373535
1680688896.6539254,3099,2.9227166175842285
1680688901.9786491,3149,2.623997449874878
1680688907.1656497,3199,2.5501785278320312
1680688912.4240339,3249,2.798102378845215
1680688923.151549,3349,2.542050361633301
1680688928.3388164,3399,2.425842523574829
1680688964.2288775,3499,2.387355327606201
1680688974.7963898,3599,2.838721513748169
1680688990.618011,3749,2.5647449493408203
1680688995.86401,3799,2.6114087104797363
1680689001.1320941,3849,2.1963560581207275
1680689016.9116793,3999,3.0742902755737305
1680689022.088673,4049,1.8519058227539062
1680689068.062618,4249,2.0340065956115723
1680689073.2851555,4299,2.392916202545166
1680689078.5391545,4349,1.6699769496917725
1680689083.7338665,4399,1.7144275903701782
1680689088.9693842,4449,3.063416004180908
1680689099.3448994,4549,2.264516592025757
1680689109.7559984,4649,2.464216709136963
1680689140.8905618,4699,2.308638572692871
1680689146.0396757,4749,2.41257381439209
1680689151.2606719,4799,2.0427346229553223
1680689161.744187,4899,2.175733804702759
1680689166.9489746,4949,1.9134864807128906
1680689172.1710165,4999,2.865687370300293
1680689182.8526108,5099,2.5637569427490234
1680689188.0896118,5149,2.048816204071045
1680689224.120689,5249,2.3298487663269043
1680689229.3846853,5299,1.7732329368591309
1680689245.2372713,5449,1.4338059425354004
1680689250.5167873,5499,1.534360647201538
1680689255.7267876,5549,1.8543440103530884
1680689260.993303,5599,2.357600212097168
1680689266.2698252,5649,1.7064636945724487
1680689271.4768271,5699,1.8828136920928955
1680689276.6533446,5749,2.0320844650268555
1680689282.0423465,5799,1.2880256175994873
1680689318.0589724,5899,1.8953875303268433
1680689323.2464852,5949,2.0168895721435547
1680689328.463489,5999,1.851470708847046
1680689333.7145767,6049,2.1416337490081787
1680689344.2071025,6149,1.5452790260314941
1680689349.4206214,6199,1.6254065036773682
1680689365.1531315,6349,1.3948357105255127
1680689370.4746487,6399,1.699414849281311
1680689411.845243,6549,1.809577465057373
1680689422.2952445,6649,1.637856364250183
1680689427.5547612,6699,1.7588746547698975
1680689432.7612772,6749,1.6834207773208618
1680689438.0042784,6799,1.4130420684814453
1680689443.2343771,6849,1.5229662656784058
1680689448.4363792,6899,1.932472586631775
1680689453.712438,6949,1.2927770614624023
1680689489.9968152,7049,1.8576958179473877
1680689506.1573699,7199,1.7278352975845337
1680689517.0788846,7299,1.7706272602081299
1680689533.2489042,7449,1.5922126770019531
1680689543.779416,7549,1.8261570930480957
1680689575.2536762,7599,2.376641273498535
1680689580.5186765,7649,1.2582857608795166
1680689585.6997597,7699,1.9784753322601318
1680689590.8137581,7749,1.4434814453125
1680689596.0239959,7799,1.5701900720596313
1680689601.2055283,7849,1.6101471185684204
1680689606.3465288,7899,1.1873626708984375
1680689611.5588474,7949,1.8884457349777222
1680689616.83485,7999,1.1597349643707275
1680689627.179365,8099,1.519192099571228
1680689662.6132708,8199,1.2506787776947021
1680689672.9984105,8299,1.7000856399536133
1680689678.2414062,8349,1.8800865411758423
1680689683.368922,8399,1.3951363563537598
1680689688.5709217,8449,1.8361458778381348
1680689693.8284433,8499,1.8029234409332275
1680689709.3404746,8649,1.7890253067016602
1680689744.8483996,8749,2.3112025260925293
1680689765.553946,8949,1.6805205345153809
1680689781.0560646,9099,1.840740442276001
1680689786.250217,9149,1.1618192195892334
1680689796.5157309,9249,1.3843505382537842
1680689801.7229793,9299,1.3634361028671265
1680689832.349539,9349,0.9096749424934387
1680689837.466621,9399,1.2572407722473145
1680689842.6616228,9449,1.2402372360229492
1680689847.9371424,9499,2.102962017059326
1680689853.0401487,9549,1.4631413221359253
1680689858.2202358,9599,0.9007827043533325
1680689884.2441602,9849,1.2249966859817505
1680689925.2448056,9999,1.5468705892562866
1680689935.47641,10099,1.3837366104125977
1680689940.77341,10149,1.1992079019546509
1680689945.9264884,10199,0.9079906344413757
1680689950.9914856,10249,1.3851721286773682
1680689956.2129984,10299,1.0553717613220215
