Wall time,Step,Value
1680955641.8892636,99,-0.8851619958877563
1680955682.3816535,299,-0.9437957406044006
1680955692.4159443,349,-0.956220805644989
1680955702.4723823,399,-0.9513884782791138
1680955722.5701845,499,-0.9597793817520142
1680955732.6877055,549,-0.9688394069671631
1680955768.6466744,599,-0.9711551070213318
1680955818.4656565,849,-0.9796645641326904
1680955828.4807181,899,-0.9728554487228394
1680955838.2702243,949,-0.9795427322387695
1680955848.282742,999,-0.9812648296356201
1680955878.287012,1149,-0.9782314300537109
1680955913.8032541,1199,-0.9795708060264587
1680955923.8163419,1249,-0.9804319143295288
1680955933.7474244,1299,-0.9816546440124512
1680955953.8589585,1399,-0.9813350439071655
1680955973.7568874,1499,-0.97479248046875
1680955983.7419133,1549,-0.9822384119033813
1680955993.8414278,1599,-0.980296790599823
1680956003.8587449,1649,-0.975936770439148
1680956059.4731903,1799,-0.9769617319107056
1680956079.4578574,1899,-0.9802963733673096
1680956089.4499633,1949,-0.9739489555358887
1680956099.3304703,1999,-0.9769335985183716
1680956109.3136797,2049,-0.9758043885231018
1680956129.2964666,2149,-0.9708151817321777
1680956139.1709924,2199,-0.9657397270202637
1680956149.24127,2249,-0.9661481380462646
1680956214.7182586,2449,-0.954644501209259
1680956224.8145583,2499,-0.9607361555099487
1680956234.715068,2549,-0.9574451446533203
1680956244.8190978,2599,-0.9465727806091309
1680956264.784686,2699,-0.9668365120887756
1680956350.4071236,2999,-0.9661571383476257
1680956360.3471715,3049,-0.9617961645126343
1680956370.4826877,3099,-0.9491232633590698
1680956380.4248986,3149,-0.966488242149353
1680956390.4384396,3199,-0.972301721572876
1680956400.458535,3249,-0.9731576442718506
1680956420.4623568,3349,-0.9610075950622559
1680956430.4608645,3399,-0.9423407316207886
1680956476.2902477,3499,-0.9588781595230103
1680956496.3034391,3599,-0.9571700692176819
1680956526.4995646,3749,-0.9732939600944519
1680956536.5510786,3799,-0.9621998071670532
1680956546.5062845,3849,-0.9586462378501892
1680956576.9428425,3999,-0.9707862734794617
1680956587.0459244,4049,-0.9640507698059082
1680956653.0892158,4249,-0.9761137962341309
1680956663.0497322,4299,-0.9603960514068604
1680956673.059028,4349,-0.9720592498779297
1680956683.050558,4399,-0.9811580181121826
1680956693.0298026,4449,-0.984711766242981
1680956713.0306187,4549,-0.9502301216125488
1680956733.1789382,4649,-0.956297755241394
1680956769.2136073,4699,-0.9571330547332764
1680956779.0751157,4749,-0.9378979802131653
1680956789.24767,4799,-0.9823647737503052
1680956809.1732342,4899,-0.9803417921066284
1680956819.1985064,4949,-0.9869304895401001
1680956829.1510243,4999,-0.9726588726043701
1680956849.297857,5099,-0.9886969327926636
1680956859.3619082,5149,-0.9901763200759888
1680956905.3404908,5249,-0.9683385491371155
1680956915.4295447,5299,-0.9572691917419434
1680956945.8653219,5449,-0.9708473086357117
1680956955.9618368,5499,-0.9814846515655518
1680956965.9471068,5549,-0.987903356552124
1680956975.988627,5599,-0.9484090805053711
1680956985.9478035,5649,-0.9440136551856995
1680956995.9703228,5699,-0.9765993356704712
1680957005.8753915,5749,-0.9804524779319763
1680957015.9251125,5799,-0.9867943525314331
1680957061.7236273,5899,-0.9940576553344727
1680957071.8648162,5949,-0.9815268516540527
1680957081.849864,5999,-0.9582937955856323
1680957091.942376,6049,-0.9873921871185303
1680957111.9232247,6149,-0.985627293586731
1680957121.8902621,6199,-0.9847040176391602
1680957151.8717518,6349,-0.9793522357940674
1680957161.8782659,6399,-0.9930298924446106
1680957218.1994827,6549,-0.958541750907898
1680957238.0460618,6649,-0.9936091899871826
1680957248.1426578,6699,-0.943311870098114
1680957258.1830308,6749,-0.9729138016700745
1680957268.2095392,6799,-0.924900233745575
1680957278.2430606,6849,-0.9873669147491455
1680957288.317586,6899,-0.977150022983551
1680957298.3856807,6949,-0.989869236946106
1680957344.4658017,7049,-0.9932684898376465
1680957374.6146321,7199,-0.9825766086578369
1680957394.6765268,7299,-0.9570521116256714
1680957424.9786427,7449,-0.9933612942695618
1680957445.0682454,7549,-0.9901155233383179
1680957481.275046,7599,-0.9927225112915039
1680957491.375557,7649,-0.9738491773605347
1680957501.3901505,7699,-0.9874001741409302
1680957511.4863086,7749,-0.970572292804718
1680957521.6204453,7799,-0.9785900712013245
1680957531.7039714,7849,-0.9913873672485352
1680957541.854033,7899,-0.9619908332824707
1680957551.8676765,7949,-0.9712750315666199
1680957561.962749,7999,-0.9664015173912048
1680957582.1984339,8099,-0.9548165798187256
1680957628.0948985,8199,-0.994500994682312
1680957648.3007028,8299,-0.9933754205703735
1680957658.37483,8349,-0.9962019324302673
1680957668.4843497,8399,-0.9957767128944397
1680957678.5748625,8449,-0.9933872818946838
1680957688.6373842,8499,-0.9870233535766602
1680957718.8753884,8649,-0.970606803894043
1680957765.3205087,8749,-0.9937641620635986
1680957805.6423938,8949,-0.9930246472358704
1680957835.7632413,9099,-0.9457951784133911
1680957845.94413,9149,-0.9883325099945068
1680957866.1077743,9249,-0.9642572402954102
1680957876.137821,9299,-0.9936676025390625
1680957912.0264719,9349,-0.9898653030395508
1680957922.0399776,9399,-0.9922873973846436
1680957932.0810993,9449,-0.9811729192733765
1680957942.1401725,9499,-0.9858841896057129
1680957952.14768,9549,-0.9414792060852051
1680957962.3679912,9599,-0.9834727048873901
1680958012.756005,9849,-0.9860110282897949
1680958068.3566206,9999,-0.9934770464897156
1680958088.305301,10099,-0.9930070042610168
1680958098.2681344,10149,-0.9942155480384827
1680958108.2272158,10199,-0.9864088892936707
1680958118.4177327,10249,-0.9856369495391846
1680958128.4642458,10299,-0.9897775650024414
1680958138.541761,10349,-0.9944272041320801
1680958158.5143597,10449,-0.9825403690338135
1680958204.3512418,10549,-0.989800214767456
1680958224.430972,10649,-0.9960057735443115
1680958234.40976,10699,-0.9965693354606628
1680958244.3730612,10749,-0.9941393733024597
1680958274.4333842,10899,-0.9971819519996643
1680958294.4116082,10999,-0.9930787682533264
1680958360.4076402,11199,-0.9968545436859131
1680958370.4018056,11249,-0.9968882203102112
1680958380.5073252,11299,-0.9938714504241943
1680958390.486658,11349,-0.9948358535766602
1680958410.3602595,11449,-0.9918029308319092
1680958420.3839393,11499,-0.9906891584396362
1680958450.4700778,11649,-0.984686017036438
1680958486.1646879,11699,-0.9805495738983154
1680958496.1984391,11749,-0.991601824760437
1680958526.2048986,11899,-0.987574577331543
1680958546.3066556,11999,-0.9943610429763794
1680958556.3149724,12049,-0.9938452243804932
1680958622.5761163,12249,-0.993815541267395
1680958632.4961421,12299,-0.9949442744255066
1680958642.5356681,12349,-0.9907816648483276
1680958652.4669805,12399,-0.994266152381897
1680958672.51081,12499,-0.9913221001625061
1680958712.6204102,12699,-0.9970965385437012
1680958768.444601,12849,-0.9942644238471985
1680958788.6312008,12949,-0.993493914604187
1680958808.6789393,13049,-0.9968212246894836
1680958818.5813031,13099,-0.993377685546875
1680958828.4768178,13149,-0.9966553449630737
1680958838.5022676,13199,-0.994451642036438
1680958868.379335,13349,-0.9956333041191101
1680958924.181004,13499,-0.9966763257980347
1680958934.167776,13549,-0.9983160495758057
1680958964.0890698,13699,-0.9955644011497498
1680959089.716202,14199,-0.9977460503578186
1680959099.7290258,14249,-0.99247145652771
1680959109.7844105,14299,-0.9992387294769287
1680959119.8089426,14349,-0.998023509979248
1680959139.8426323,14449,-0.9979802966117859
1680959159.7622652,14549,-0.9961584210395813
1680959205.8250945,14649,-0.9963910579681396
1680959215.7553189,14699,-0.9939290285110474
1680959235.743343,14799,-0.9878818988800049
1680959255.7444577,14899,-0.9914220571517944
1680959265.6926262,14949,-0.9962276816368103
1680959275.7021399,14999,-0.9967100620269775
1680959295.7770815,15099,-0.9922021627426147
1680959341.473617,15199,-0.9994875192642212
1680959351.503939,15249,-0.9976866245269775
1680959381.54861,15399,-0.9902670383453369
1680959401.6879904,15499,-0.9987167119979858
1680959431.723312,15649,-0.9867517948150635
1680959487.7083263,15799,-0.996381402015686
1680959497.7254078,15849,-0.9992547631263733
1680959507.7619348,15899,-0.9991827607154846
1680959548.2069263,16099,-0.9985263347625732
1680959578.6963928,16249,-0.999398946762085
1680959589.0235133,16299,-0.9892994165420532
1680959635.0576804,16399,-0.9960030317306519
1680959655.2209017,16499,-0.9818671345710754
1680959685.3601387,16649,-0.9993340373039246
1680959695.281434,16699,-0.9946526288986206
1680959705.382948,16749,-0.9977214932441711
1680959725.4217613,16849,-0.9991065859794617
1680959771.289112,16949,-0.988589346408844
1680959791.5040758,17049,-0.9348225593566895
1680959811.5530968,17149,-0.9778802394866943
1680959821.5351894,17199,-0.9739975929260254
1680959831.5736995,17249,-0.9513853192329407
1680959872.8196578,17449,-0.8543975949287415
1680959919.1349819,17549,-0.9634580612182617
1680959939.2485683,17649,-0.8943949937820435
1680959969.305872,17799,-0.9376698136329651
1680959979.3178918,17849,-0.8766210079193115
1680959989.256064,17899,-0.9723029136657715
1680960009.3578708,17999,-0.9539673328399658
1680960019.346744,18049,-0.9753977060317993
