Wall time,Step,Value
1680942586.8670356,99,-0.7848753929138184
1680942607.7781007,299,-0.9085863828659058
1680942613.0606344,349,-0.9276769757270813
1680942618.2467387,399,-0.9186902046203613
1680942628.7268455,499,-0.9307332038879395
1680942633.9468458,549,-0.9379552602767944
1680942664.3779469,599,-0.9551624059677124
1680942690.4661062,849,-0.967982292175293
1680942695.6701035,899,-0.9611803889274597
1680942700.9141989,949,-0.9725937843322754
1680942706.124197,999,-0.970307469367981
1680942721.7808125,1149,-0.9601485729217529
1680942752.2017722,1199,-0.9596906900405884
1680942757.4443061,1249,-0.9720886945724487
1680942762.6183627,1299,-0.9713330864906311
1680942773.1254716,1399,-0.9714999198913574
1680942783.557998,1499,-0.9765310287475586
1680942788.7429972,1549,-0.9745434522628784
1680942793.9963758,1599,-0.9705080986022949
1680942799.2889066,1649,-0.9786184430122375
1680942840.0053713,1799,-0.9655753374099731
1680942850.5665627,1899,-0.955816388130188
1680942855.844696,1949,-0.9538428783416748
1680942860.957698,1999,-0.961552083492279
1680942866.185241,2049,-0.9549918174743652
1680942876.6800401,2149,-0.965423047542572
1680942881.8643868,2199,-0.9647092819213867
1680942887.1523867,2249,-0.9590653777122498
1680942933.3060026,2449,-0.9542360305786133
1680942938.5245419,2499,-0.964593768119812
1680942943.7126834,2549,-0.9616117477416992
1680942949.0546837,2599,-0.9455857872962952
1680942959.4856284,2699,-0.9639000296592712
1680943015.9250698,2999,-0.9580851793289185
1680943021.1640744,3049,-0.9516674280166626
1680943026.3406124,3099,-0.933290958404541
1680943031.5696132,3149,-0.9664484262466431
1680943036.7975128,3199,-0.9581964612007141
1680943041.997515,3249,-0.9675806760787964
1680943052.4023328,3349,-0.9609247446060181
1680943057.6703334,3399,-0.9748488068580627
1680943093.2722309,3499,-0.9633542895317078
1680943103.8797607,3599,-0.9602064490318298
1680943119.6531696,3749,-0.9771016240119934
1680943124.9627001,3799,-0.9732390642166138
1680943130.2036974,3849,-0.9690533876419067
1680943145.9427578,3999,-0.9767333269119263
1680943151.1803172,4049,-0.9766271710395813
1680943197.3523588,4249,-0.9747798442840576
1680943202.6483579,4299,-0.9725817441940308
1680943207.8708894,4349,-0.9775961637496948
1680943213.0898921,4399,-0.9738317728042603
1680943218.3900247,4449,-0.9752050638198853
1680943228.819564,4549,-0.9702802896499634
1680943239.3199546,4649,-0.9677344560623169
1680943269.989742,4699,-0.978783369064331
1680943275.2677429,4749,-0.9584473967552185
1680943280.4969025,4799,-0.9622804522514343
1680943290.921359,4899,-0.968670129776001
1680943296.2018948,4949,-0.9294439554214478
1680943301.393895,4999,-0.94586181640625
1680943312.1880865,5099,-0.9751341342926025
1680943317.4798033,5149,-0.9771988391876221
1680943353.2176442,5249,-0.9701145887374878
1680943358.5311537,5299,-0.9846270680427551
1680943374.1273575,5449,-0.9757838249206543
